County,Type of School,Year,Statistic,Value
All Counties,Second level education institutions aided by the Department of Education and Skills,2000,Schools providing Second Level Education  (Number),752
All Counties,Second level education institutions aided by the Department of Education and Skills,2000,Pupils receiving Second Level Education (Number),353860
All Counties,Second level education institutions aided by the Department of Education and Skills,2001,Schools providing Second Level Education  (Number),751
All Counties,Second level education institutions aided by the Department of Education and Skills,2001,Pupils receiving Second Level Education (Number),345384
All Counties,Second level education institutions aided by the Department of Education and Skills,2002,Schools providing Second Level Education  (Number),750
All Counties,Second level education institutions aided by the Department of Education and Skills,2002,Pupils receiving Second Level Education (Number),340078
All Counties,Second level education institutions aided by the Department of Education and Skills,2003,Schools providing Second Level Education  (Number),746
All Counties,Second level education institutions aided by the Department of Education and Skills,2003,Pupils receiving Second Level Education (Number),339231
All Counties,Second level education institutions aided by the Department of Education and Skills,2004,Schools providing Second Level Education  (Number),743
All Counties,Second level education institutions aided by the Department of Education and Skills,2004,Pupils receiving Second Level Education (Number),337851
All Counties,Second level education institutions aided by the Department of Education and Skills,2005,Schools providing Second Level Education  (Number),742
All Counties,Second level education institutions aided by the Department of Education and Skills,2005,Pupils receiving Second Level Education (Number),335162
All Counties,Second level education institutions aided by the Department of Education and Skills,2006,Schools providing Second Level Education  (Number),735
All Counties,Second level education institutions aided by the Department of Education and Skills,2006,Pupils receiving Second Level Education (Number),332407
All Counties,Second level education institutions aided by the Department of Education and Skills,2007,Schools providing Second Level Education  (Number),732
All Counties,Second level education institutions aided by the Department of Education and Skills,2007,Pupils receiving Second Level Education (Number),333718
All Counties,Second level education institutions aided by the Department of Education and Skills,2008,Schools providing Second Level Education  (Number),731
All Counties,Second level education institutions aided by the Department of Education and Skills,2008,Pupils receiving Second Level Education (Number),335123
All Counties,Second level education institutions aided by the Department of Education and Skills,2009,Schools providing Second Level Education  (Number),732
All Counties,Second level education institutions aided by the Department of Education and Skills,2009,Pupils receiving Second Level Education (Number),341312
All Counties,Second level education institutions aided by the Department of Education and Skills,2010,Schools providing Second Level Education  (Number),730
All Counties,Second level education institutions aided by the Department of Education and Skills,2010,Pupils receiving Second Level Education (Number),350687
All Counties,Second level education institutions aided by the Department of Education and Skills,2011,Schools providing Second Level Education  (Number),729
All Counties,Second level education institutions aided by the Department of Education and Skills,2011,Pupils receiving Second Level Education (Number),356107
