County,Sex,Year,Statistic,Value
All counties (1),Both sexes,2011,Mean Annual Earnings (Euro),39721
All counties (1),Both sexes,2011,Median Annual Earnings (Euro),33300
All counties (1),Both sexes,2012,Mean Annual Earnings (Euro),39792
All counties (1),Both sexes,2012,Median Annual Earnings (Euro),33192
All counties (1),Both sexes,2013,Mean Annual Earnings (Euro),40015
All counties (1),Both sexes,2013,Median Annual Earnings (Euro),33414
All counties (1),Both sexes,2014,Mean Annual Earnings (Euro),40437
All counties (1),Both sexes,2014,Median Annual Earnings (Euro),33694
All counties (1),Both sexes,2015,Mean Annual Earnings (Euro),41130
All counties (1),Both sexes,2015,Median Annual Earnings (Euro),33999
All counties (1),Both sexes,2016,Mean Annual Earnings (Euro),41627
All counties (1),Both sexes,2016,Median Annual Earnings (Euro),34236
All counties (1),Both sexes,2017,Mean Annual Earnings (Euro),42666
All counties (1),Both sexes,2017,Median Annual Earnings (Euro),34973
All counties (1),Both sexes,2018,Mean Annual Earnings (Euro),44180
All counties (1),Both sexes,2018,Median Annual Earnings (Euro),36095
All counties (1),Male,2011,Mean Annual Earnings (Euro),45964
All counties (1),Male,2011,Median Annual Earnings (Euro),37656
All counties (1),Male,2012,Mean Annual Earnings (Euro),45850
All counties (1),Male,2012,Median Annual Earnings (Euro),37217
All counties (1),Male,2013,Mean Annual Earnings (Euro),45929
All counties (1),Male,2013,Median Annual Earnings (Euro),37262
All counties (1),Male,2014,Mean Annual Earnings (Euro),46405
All counties (1),Male,2014,Median Annual Earnings (Euro),37412
All counties (1),Male,2015,Mean Annual Earnings (Euro),47107
All counties (1),Male,2015,Median Annual Earnings (Euro),37452
All counties (1),Male,2016,Mean Annual Earnings (Euro),47607
All counties (1),Male,2016,Median Annual Earnings (Euro),37739
All counties (1),Male,2017,Mean Annual Earnings (Euro),48694
All counties (1),Male,2017,Median Annual Earnings (Euro),38331
All counties (1),Male,2018,Mean Annual Earnings (Euro),50430
All counties (1),Male,2018,Median Annual Earnings (Euro),39658
All counties (1),Female,2011,Mean Annual Earnings (Euro),33819
All counties (1),Female,2011,Median Annual Earnings (Euro),29293
All counties (1),Female,2012,Mean Annual Earnings (Euro),34036
All counties (1),Female,2012,Median Annual Earnings (Euro),29457
All counties (1),Female,2013,Mean Annual Earnings (Euro),34331
All counties (1),Female,2013,Median Annual Earnings (Euro),29827
All counties (1),Female,2014,Mean Annual Earnings (Euro),34596
All counties (1),Female,2014,Median Annual Earnings (Euro),30096
All counties (1),Female,2015,Mean Annual Earnings (Euro),35212
All counties (1),Female,2015,Median Annual Earnings (Euro),30499
All counties (1),Female,2016,Mean Annual Earnings (Euro),35605
All counties (1),Female,2016,Median Annual Earnings (Euro),30789
All counties (1),Female,2017,Mean Annual Earnings (Euro),36508
All counties (1),Female,2017,Median Annual Earnings (Euro),31386
All counties (1),Female,2018,Mean Annual Earnings (Euro),37750
All counties (1),Female,2018,Median Annual Earnings (Euro),32264
Carlow,Both sexes,2011,Mean Annual Earnings (Euro),34974
Carlow,Both sexes,2011,Median Annual Earnings (Euro),30719
Carlow,Both sexes,2012,Mean Annual Earnings (Euro),34715
Carlow,Both sexes,2012,Median Annual Earnings (Euro),30423
Carlow,Both sexes,2013,Mean Annual Earnings (Euro),35227
Carlow,Both sexes,2013,Median Annual Earnings (Euro),31016
Carlow,Both sexes,2014,Mean Annual Earnings (Euro),35320
Carlow,Both sexes,2014,Median Annual Earnings (Euro),31026
Carlow,Both sexes,2015,Mean Annual Earnings (Euro),35764
Carlow,Both sexes,2015,Median Annual Earnings (Euro),31118
Carlow,Both sexes,2016,Mean Annual Earnings (Euro),35720
Carlow,Both sexes,2016,Median Annual Earnings (Euro),31199
Carlow,Both sexes,2017,Mean Annual Earnings (Euro),36494
Carlow,Both sexes,2017,Median Annual Earnings (Euro),31737
Carlow,Both sexes,2018,Mean Annual Earnings (Euro),37589
Carlow,Both sexes,2018,Median Annual Earnings (Euro),32751
Carlow,Male,2011,Mean Annual Earnings (Euro),38919
Carlow,Male,2011,Median Annual Earnings (Euro),33500
Carlow,Male,2012,Mean Annual Earnings (Euro),38150
Carlow,Male,2012,Median Annual Earnings (Euro),32663
